*Marvel*Agents*    Marvel's Agents of S.H.I.E.L.D
*Homeland*    Homeland
*Big*Bang*Theory*    The Big Bang Theory
*House*Cards*    House of Cards (US)
*Suits*    Suits
*Arrow*    Arrow
*Broke*Girls*    Two Broke Girls
*Californication*    Californication
*Black*Mirror*    Black Mirror
*The*Americans*    The Americans (2013)
*Tyrant*    Tyrant
*Under*Dome*    Under the Dome
*Black*Sails*    Black Sails
*Breakout*Kings*    Breakout Kings
*Game*Thrones*    Game of Thrones
*American*Gods*    American Gods
*Halt*Catch*fire*    Halt and Catch Fire
*Undateable*    Undateable
*Grand*Tour*    The Grand Tour (2016)

